Ano;Mes;Categoria;Sub-categoria;Producto;Pais;Cadena;Marca;Marca_propia;Peso_Volumen;Promocion;Precio_Normal;Precio_Oferta
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;Ocean Spray;0;1,000;0;£1,00;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;Sainsbury’s;1;1,000;0;£0,55;
2022;Febrero;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;Sainsbury’s;1;2,000;0;£0,52;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;San Pellegrino;0;0,500;0;£1,00;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;San Pellegrino;0;1,000;0;£1,35;
2022;Febrero;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;San Pellegrino;0;0,750;0;£1,40;
2022;Febrero;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;San Pellegrino;0;1,000;0;£1,35;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Tesco;Highland Spring;0;1,500;0;£0,85;
2022;Marzo;Aguas;Agua mineral;Agua con gas;UK;Tesco;Highland Spring;0;1,500;0;£0,85;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Tesco;San Pellegrino;0;1,000;0;£1,35;
2022;Marzo;Aguas;Agua mineral;Agua con gas;UK;Tesco;San Pellegrino;0;1,000;0;£1,35;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Tesco;Schweppes;0;1,000;1;£1,50;£1,00
2022;Marzo;Aguas;Agua mineral;Agua con gas;UK;Tesco;Schweppes;0;1,000;1;£1,50;£1,46
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Tesco;Tesco;1;1,000;0;£0,60;
2022;Marzo;Aguas;Agua mineral;Agua con gas;UK;Tesco;Tesco;1;1,000;0;£0,60;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Tesco;Tesco Ashbeck;1;2,000;0;£0,50;
